Price,Close,High,Low,Open,Volume
Ticker,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS,POWERGRID.NS
Date,,,,,
2023-04-13,153.5674285888672,153.86633524933387,150.77771417259962,150.9769852795774,11428621
2023-04-17,157.1874542236328,159.34616631931414,154.2981038136661,154.49736143743178,21815047
2023-04-18,152.9696502685547,157.75202194959832,152.53790518997843,157.35349322843985,13482833
2023-04-19,152.73715209960938,153.70027774800928,151.87367551648566,152.10614946142013,8264190
2023-04-20,153.36817932128906,154.69661740373664,152.5379055197593,153.33496296379948,7308750
2023-04-21,153.7999267578125,154.33129389079224,152.50469149943376,153.96598152066326,5030650
2023-04-24,154.06561279296875,154.29810028573814,152.73717461061568,153.43461006177984,5725067
2023-04-25,154.69659423828125,155.3608131800398,153.20210161932448,153.63384663418134,8338703
2023-04-26,158.28341674804688,159.08047426167442,154.09883101757188,155.46048557638878,13581018
2023-04-27,156.7224884033203,158.28341407092955,155.09515704319946,158.08414293910695,9794457
2023-04-28,157.58595275878906,158.05090063863474,154.82944129338188,157.38668165967252,10585487
2023-05-02,159.47897338867188,160.17640871869764,158.2501709861419,158.54906411982742,6732907
2023-05-03,159.2133026123047,160.74101184935935,158.61551627165585,159.41257373490186,4789217
2023-05-04,158.64869689941406,159.87749928049308,156.05824023627187,159.18007747621172,9189783
2023-05-05,160.11001586914062,160.40890905200754,158.2169806657439,158.61552292766228,3896441
2023-05-08,162.56759643554688,163.56392491216923,160.1431944397185,160.6413586780297,8758321
2023-05-09,161.67091369628906,163.99568028822625,161.20595226975922,162.10265876607727,9166941
2023-05-10,164.49383544921875,164.69309303792295,162.46796212585483,162.83328797550075,9689409
2023-05-11,165.0916290283203,165.52336054438038,163.79639393943177,164.527032097652,12616726
2023-05-12,160.574951171875,165.7890678763965,160.17642245492783,165.29090360181985,13853807
2023-05-15,161.57127380371094,163.16540212668772,160.97347399339836,161.67090935769141,12187763
2023-05-16,159.81109619140625,162.43476947258188,159.4125674754318,161.77055044143424,11418509
2023-05-17,158.61550903320312,160.67458531393163,157.71880253600864,160.01036628701465,11560929
2023-05-18,156.52325439453125,160.07682434851586,155.82581884152512,160.07682434851586,14497723
2023-05-19,155.2279815673828,157.7520192813121,154.0988146242712,156.5232167812034,10071694
2023-05-22,155.6597137451172,158.74833467476694,154.53054689553622,155.89218768314038,12566129
2023-05-23,155.49368286132812,157.12102770433617,154.9955185547368,155.46048001569838,12458561
2023-05-24,156.62286376953125,157.98450476930344,155.991847538208,157.95130192359488,8877971
2023-05-25,158.05091857910156,159.6118441677003,156.95496795026756,157.884863815512,12502747
2023-05-26,157.61920166015625,158.01773042711235,155.95865386986202,157.98451406587748,6811801
2023-05-29,155.7593536376953,158.31659405440615,155.49366333815794,158.2169585028834,13638297
2023-05-30,156.15789794921875,156.68927860144245,155.22798856461293,156.68927860144245,9469926
2023-05-31,155.32762145996094,156.22431447082212,152.77038083136748,156.091476066832,48104157
2023-06-01,154.76304626464844,155.49368455288305,152.80360537616852,154.72982990508567,8804790
2023-06-02,155.82579040527344,156.15789993875168,154.82946180483873,155.42726166781387,6617781
2023-06-05,156.489990234375,158.08411850181312,155.95862315427553,157.0545736691675,27428302
2023-06-06,156.2907257080078,157.41989252746063,155.72612878471216,157.0545666963363,6898603
2023-06-07,158.8811798095703,159.44577677190117,156.85531996242085,157.22063230523295,11153571
2023-06-08,160.50852966308594,163.0325538431679,158.91440130465116,158.91440130465116,19300834
2023-06-09,162.66725158691406,163.06578032287075,160.60817518982836,161.7705585526187,11037141
2023-06-12,160.50852966308594,163.69677286638483,160.20962299449596,162.73366068814855,8188909
2023-06-13,160.9070587158203,161.7041161399441,160.37567809069068,160.74100395966363,6443218
2023-06-14,163.72999572753906,164.19494365683383,160.8074292065645,160.8074292065645,10297426
2023-06-15,163.69679260253906,164.02890215418842,161.93662278965527,164.02890215418842,9732749
2023-06-16,163.69679260253906,164.29459249822236,162.40157075653548,163.66358975551748,9702361
2023-06-19,161.47164916992188,164.92559635555415,161.006701237996,163.69678029597492,10431647
2023-06-20,165.22447204589844,165.85547467441464,161.903377130403,161.96979632599894,13426365
2023-06-21,171.5013427734375,172.06593974212504,165.22447854180027,165.25769489768905,31172093
2023-06-22,168.41273498535156,171.36850416730525,167.84813801735496,171.36850416730525,7430965
2023-06-23,166.1211700439453,169.14337191477645,165.75585770022553,168.44593655579382,5593393
2023-06-26,165.05844116210938,166.22082455057492,164.16174810800743,166.05476978079415,7305362
2023-06-27,165.75587463378906,166.08798416940988,164.49385569571555,164.79274887234567,11142907
2023-06-28,166.15440368652344,167.7153158041647,163.69678501016102,166.5861487863574,17808717
2023-06-30,169.47547912597656,172.49766744239204,166.85180598992198,170.37217206571367,17659979
2023-07-03,166.38685607910156,169.34262516290318,165.72263709275785,169.0769483792216,12467239
2023-07-04,165.78907775878906,167.71531577135258,165.52338742713002,167.71531577135258,8637967
2023-07-05,168.21347045898438,168.67841837762825,165.72264908002606,165.8554874814755,5340907
2023-07-06,174.4903564453125,175.08815635269266,168.9773458882061,172.6637538755008,16705046
2023-07-07,169.67474365234375,174.39070951628372,169.17657938617296,174.39070951628372,13149183
2023-07-10,166.0547637939453,170.30576844978455,165.05843521118163,169.6747522392248,15319047
2023-07-11,168.37953186035156,169.64155077819274,166.0879815067339,167.38320326946192,7486045
2023-07-12,167.41641235351562,169.2097983337641,166.81861252224252,168.71163405996498,9390877
2023-07-13,161.47164916992188,167.51603985281432,160.5417397924989,167.2171466842293,30591450
2023-07-14,159.44577026367188,162.33512010056788,157.22062588782921,161.40521083338177,72085831
2023-07-17,160.0767822265625,162.70044192401784,158.88118259703552,161.07311074664483,11474161
2023-07-18,160.17642211914062,161.87017254100806,159.14687721507886,160.07678656172,14940593
2023-07-19,161.57127380371094,163.53071447318908,159.7778878863435,160.07678103471463,22954874
2023-07-20,162.2355194091797,163.29826729420188,160.9402975358046,162.03624826855005,10249082
2023-07-21,162.1358642578125,163.59715424761484,160.87384538457394,161.5712807789763,18466409
2023-07-24,164.36099243164062,164.82595385756824,161.30558761748057,162.1026585561119,14825562
2023-07-25,166.818603515625,167.05107746146572,164.82594652801308,165.35731361656755,10500017
2023-07-26,166.718994140625,169.80761565909205,166.05477504046314,168.6452322338088,12898171
2023-07-27,166.5197296142578,168.31312936401756,165.85551048773334,167.38321988416874,10836773
2023-07-28,171.5013427734375,173.46079695875883,166.1211715015241,167.25035192532886,17518458
2023-07-31,176.71548461914062,177.34648731464438,172.13237044649736,174.0253920465799,24269734
2023-08-01,167.2503662109375,174.0253952781705,166.3868760197775,174.0253952781705,31395702
2023-08-02,165.0916290283203,168.57877859186962,163.79639393943177,167.98097882111873,20825405
2023-08-03,165.19126892089844,166.45328779257127,163.46430212924813,165.390540037215,10882019
2023-08-04,164.29458618164062,165.42376672197855,163.79642187331936,164.72633128490008,7406390
2023-08-07,164.69308471679688,165.35730367272436,163.39786315816593,165.25768164019064,6345966
2023-08-08,163.54188537597656,166.08135564578987,162.9662748703205,166.08135564578987,15171726
2023-08-09,162.76312255859375,164.8962804825557,162.35681004391265,164.55768442406995,18442141
2023-08-10,163.7450714111328,164.32068199729795,162.5599851194652,162.8985812027988,9962450
2023-08-11,165.4380340576172,166.75855312977345,164.42224591672516,166.25065905932743,23866073
2023-08-14,165.57345581054688,166.11521496019378,163.0339856294035,165.81047027195208,9188486
2023-08-16,167.9774932861328,168.38380576008134,164.59153304071597,165.6411724502907,9191471
2023-08-17,165.0316925048828,168.48538288626898,164.01590445800622,167.97748886283068,15301142
2023-08-18,163.2032928466797,164.9978546314083,162.59381721332736,164.9978546314083,12292241
