Price,Close,High,Low,Open,Volume
Ticker,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS,HCLTECH.NS
Date,,,,,
2023-04-13,955.6240844726562,970.9144485652738,947.7337546601341,970.9144485652738,3071057
2023-04-17,929.1892700195312,940.601348875845,906.0531950664242,940.601348875845,9509446
2023-04-18,948.4915161132812,950.7650506667027,931.8638051220759,935.742200399516,3686404
2023-04-19,926.0686645507812,957.4963356396128,924.0626429919197,957.4963356396128,4322881
2023-04-20,924.9989013671875,933.6470403332595,919.9615361857844,927.22781438253,3057560
2023-04-21,935.207275390625,957.5410272410164,925.2217886586265,939.7097231955598,7708194
2023-04-24,939.75439453125,944.0784642235017,932.5772507411308,942.3844684831504,2033625
2023-04-25,939.2193603515625,943.9893214616577,931.1507602142273,936.5446646264164,1237595
2023-04-26,950.0074462890625,951.3001724369817,934.360431784402,940.6013888669313,1647101
2023-04-27,955.0892333984375,958.4326029435895,945.9506899750219,950.007355223264,1654910
2023-04-28,964.9280395507812,969.1446912232464,955.5426604692359,961.1647889034497,2629188
2023-05-02,968.056640625,974.6309559484225,964.8374488443599,964.928106916994,1905168
2023-05-03,960.2579345703125,964.8373289522737,956.6761109442187,963.0237249504837,1649820
2023-05-04,967.3764038085938,968.4191375385461,950.6005670525699,957.6282824503637,1403672
2023-05-05,957.1749267578125,970.2327874310234,954.0463933390835,967.376449592263,1641673
2023-05-08,975.4922485351562,977.0791520303331,956.6761070923448,959.3965130840764,1389075
2023-05-09,978.4393310546875,981.7037960260665,966.6962897555214,971.1849152544675,2981949
2023-05-10,977.8046875,987.3261089539894,972.1824484157647,983.1094573142152,2091411
2023-05-11,986.6913452148438,990.7719546745359,979.3916547086751,981.2959169844748,2653108
2023-05-12,993.401611328125,1000.5653694134387,977.0337906157464,984.7869921518427,1585037
2023-05-15,997.2556762695312,1002.8778053886458,990.9534455298646,996.5301902634931,1523466
2023-05-16,989.0489501953125,1002.2883486606266,986.6912870075201,997.6635696575764,1166324
2023-05-17,974.4039916992188,991.9958593864806,963.658301006758,988.8674372187942,3602382
2023-05-18,979.2555541992188,983.8802225073053,972.9985979265794,981.1144319822604,1515743
2023-05-19,993.265625,1001.1094850423605,981.5678561610544,987.1447110289529,1984436
2023-05-22,1015.4819946289062,1017.3409826348503,987.4617962896992,993.2653500686466,1864932
2023-05-23,1004.1470336914062,1025.9102786816288,1001.1092695502388,1015.6180995437204,2138096
2023-05-24,1008.3184814453125,1011.0842719374725,995.6686372980671,996.6208237150031,1302744
2023-05-25,1011.9911499023438,1014.03145464005,1000.2481069116583,1005.8248513064957,1124803
2023-05-26,1033.0286865234375,1034.0715308535366,1010.1773227810515,1011.0841246866,1635167
2023-05-29,1021.240478515625,1040.963424147617,1019.6083011553535,1039.195204333919,1288914
2023-05-30,1029.990966796875,1037.3814247852445,1022.9179780440427,1023.7793956141093,1983735
2023-05-31,1038.3787841796875,1045.8598994989843,1026.5903600401894,1029.038791469929,5967930
2023-06-01,1035.477294921875,1047.4924222223187,1031.6233861651287,1041.008765351659,1445692
2023-06-02,1031.0789794921875,1043.8194777299877,1026.1368435127697,1041.008414429042,1336554
2023-06-05,1032.212890625,1041.462227910186,1030.1272014853907,1037.3816183972597,1435758
2023-06-06,1023.416748046875,1026.7719819711792,1009.9507600515753,1024.6862930265142,1943605
2023-06-07,1023.8248901367188,1028.1321998376457,1012.1723953382715,1028.1321998376457,2459039
2023-06-08,1021.7389526367188,1025.8195608345134,1014.0765215205146,1023.8246411041354,1385218
2023-06-09,1006.323486328125,1025.5930281929348,1002.877594564272,1023.8700823110083,1824218
2023-06-12,1033.4368896484375,1034.6156657960141,1007.9103919949555,1009.225210577068,1670970
2023-06-13,1025.8651123046875,1038.242870632661,1024.0515083658079,1038.242870632661,2014656
